1953	Charles Salameh
1955	Georges Malias
1956	Edgar Chalabi
1957	Serge Majarov
1958	Edgar Chalabi
1959	Carlos Maalouf
1960	Serge Majarov
1961	Fares Farah
1962	Serge Majarov
1964	Charles Salameh
1965	Jack Bedros
1966	Maurice Gabriel
1967	Antoine Ghaleb
1968	Charles Salameh
1970	Samir Sursock
1971	Samir Sursock
1972	Andre Tarazi
1974	Safwan Akkari
1992	Samir Sursock
1993	Mounir Tawbeh
1994	Fadi Eid
1995	Antoine Kassis
1996	Ahmad Najjar
1997	Mansour Assaf
1998	Fadi Eid
1999	Ahmad Najjar
2000	AbdelAziz ElMahmoud
2001	Haitham Omar
2002	Faisal Khairallah
2003	Faisal Khairallah
2004	Faisal Khairallah
2005	Knarik Mouradian
2006	Fadi Eid
2007	Ahmad Najjar
2008	Faisal Khairallah
2009	Fadi Eid
2010	Amr ElJawish (Youngest)
2011	Faisal Khairallah
2012	Faisal Khairallah
2013	Ibrahim Chahrour
2014	Faisal Khairallah
2015	Amr ElJawish
2016	Faisal Khairallah
2017	Amr ElJawish
2018	Antoine Kassis
2020	Ahmad Najjar
2022	Amr ElJawish
2023	Ahmad Najjar
2024	Akram Khoder
